T;x;
39;0,28;1
42;0,56;2
41;0,84;3
41;1,12;4
40;1,4;5
39;1,68;6
39;1,96;7
38;2,24;8
38;2,52;9
37;2,8;10
36;3,08;11
36;3,36;12
35;3,64;13
34;3,92;14
34;4,2;15
33;4,48;16
33;4,76;17
33;5,04;18
32;5,32;19
32;5,6;20
31;5,88;21
31;6,16;22
31;6,44;23
30;6,72;24
30;7;25
29;7,28;26
29;7,56;27
28;7,84;28
28;8,12;29
28;8,4;30
27;8,68;31
27;8,96;32
27;9,24;33
26;9,52;34
26;9,8;35
26;10,08;36
25;10,36;37
25;10,64;38
24;10,92;39
24;11,2;40
24;11,48;41
24;11,76;42
23;12,04;43
23;12,32;44
23;12,6;45
23;12,88;46
22;13,16;47
22;13,44;48
22;13,72;49
21;14;50
21;14,28;51
20;14,56;52
20;14,84;53
20;15,12;54
20;15,4;55
20;15,68;56
19;15,96;57
19;16,24;58
18;16,52;59
18;16,8;60
18;17,08;61
17;17,36;62
17;17,64;63
17;17,92;64
16;18,2;65
16;18,48;66
16;18,76;67
15;19,04;68
15;19,32;69
16;19,6;70
16;19,88;71
